signal_date,exec_date,entry_date,direction,entry_price,exit_price,pnl,pnl_pct
2017-02-20,2017-02-21,2016-12-15,short,3327.1429,3490.0855,-48973.73,-0.048974
2017-05-08,2017-05-09,2017-02-21,long,3490.0855,3327.5901,-44278.97,-0.046559
2017-05-31,2017-06-01,2017-05-09,short,3327.5901,3499.8142,-46929.98,-0.051756
2017-11-30,2017-12-01,2017-06-01,long,3499.8142,3984.3776,119045.18,0.138454
2018-01-10,2018-01-11,2017-12-01,short,3984.3776,4211.799,-55871.78,-0.057078
2018-02-06,2018-02-07,2018-01-11,long,4211.799,4048.4228,-35802.92,-0.03879
2019-02-11,2019-02-12,2018-02-07,short,4048.4228,3335.3606,156263.34,0.176133
2019-05-06,2019-05-07,2019-02-12,long,3335.3606,3671.8341,105264.08,0.100881
2019-07-01,2019-07-02,2019-05-07,short,3671.8341,3942.4257,-84653.25,-0.073694
2020-02-03,2020-02-04,2019-07-02,long,3942.4257,3652.0035,-78385.04,-0.073666
2020-05-08,2020-05-11,2020-03-17,short,3618.307,3998.0972,-103460.11,-0.104964
2021-02-26,2021-03-01,2020-05-11,long,3998.0972,5345.9449,297414.95,0.337122
2022-06-10,2022-06-13,2021-03-01,short,5345.9449,4218.2327,248840.04,0.210947
2022-08-03,2022-08-04,2022-06-13,long,4218.2327,4064.6594,-52006.41,-0.036407
2022-11-15,2022-11-16,2022-08-04,short,4064.6594,3877.6781,63319.77,0.046002
2023-03-16,2023-03-17,2022-11-16,long,3877.6781,3945.2501,25089.54,0.017426
2024-02-21,2024-02-22,2023-03-17,short,3945.2501,3486.6826,170266.5,0.116233
2024-06-25,2024-06-26,2024-02-22,long,3486.6826,3442.2982,-20814.85,-0.01273
2024-09-24,2024-09-25,2024-06-26,short,3442.2982,3465.4882,-10875.36,-0.006737
2026-03-23,2026-03-24,2025-05-14,long,3960.5228,4394.2943,175616.04,0.109524
2026-04-20,2026-04-21,2026-03-24,short,4394.2943,4776.8258,-154871.1,-0.087052
2026-07-17,2026-07-20,2026-04-21,long,4776.8258,4521.1808,-86923.32,-0.053518
,2026-07-31,2026-07-20,short,4521.1808,4588.1968,-22786.49,-0.014823
